Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Internal Class,"BerryImu.LSM9DS1",,,,,,,1,1,1,1,4,0,3,2,1,4,2,0,,0,75,,,,,,7,0,0,0,0,0,0,7,30,,,0,0,0,0,7,6,0,,138,,,,16,,,,105,,,87,17,30,,,,0,0,,,,97,99,86,,,,16,,,,,,,,1,1,1,1,,1,0,,0,0,"0.29",1,1,1,1
Public Method,"BerryImu.LSM9DS1.ACC_ADDRESS.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,0,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.LSM9DS1.ACC_OUT_X_L.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,0,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.LSM9DS1.GYR_ADDRESS.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,0,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.LSM9DS1.GYR_OUT_X_L_G.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,0,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Virtual Method,"BerryImu.LSM9DS1.Initialise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,34,,,,6,,,,21,,,5,17,18,,,,0,0,10,1,0,16,17,4,,,,16,,,1,1,1,1,0,,,,,0,,0,0,,,"0.86",1,1,1,1
Public Method,"BerryImu.LSM9DS1.MAG_ADDRESS.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,0,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.LSM9DS1.MAG_OUT_X_L.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,0,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Internal Struct,"BerryImu.Magnetometer",,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,,,,,,0,5,0,0,0,0,5,0,7,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,0,0,0,0
Public Class,"BerryImu.MainPage",,,,,,,4,4,4,1,58,9,43,8,1,14,8,0,,0,3,,,,,,4,8,0,8,0,0,0,4,10,,,0,3,0,0,1,0,0,,255,,,,45,,,,187,,,42,129,36,,,,0,0,,,,125,141,41,,,,113,,,,,,,,9,9,9,1,,1,3,,68,25,"0.19",17,17,17,5
Private Method,"BerryImu.MainPage.InitI2CBerryIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,34,,,,5,,,,28,,,4,17,3,,,,0,0,8,4,1,12,16,4,,,,15,,,5,5,5,1,2,,,,,0,,2,0,,,"0.11",5,5,5,1
Public Constructor,"BerryImu.MainPage.MainPage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,2,,,,6,,,1,3,2,,,,0,0,3,1,0,3,4,1,,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Private Method,"BerryImu.MainPage.MainPage_Unloaded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,0,,,,4,,,1,1,1,,,,0,0,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
