Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"INThandler",,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,1,,,,6,,,1,3,0,,,,0,0,3,1,0,3,3,0,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",,,,
Function,"INThandler",,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,1,,,,8,,,1,5,0,,,,0,0,3,1,0,5,5,0,,,0,5,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",,,,
Function,"INThandler",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,7,,,3,3,0,,,,0,0,3,1,0,4,5,2,,,0,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",,,,
Unknown Method,"InitializeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"JSON.c",1,4,1,7,16,2,1,1,1,1,5,1,4,1,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,25,,,,7,,,,15,,,5,1,2,,,,0,1,,,,3,6,5,,,0,1,,,,,,,,1,1,1,1,,,0,,,,"0.13",4,4,4,4
File,"LIS3MDL.h",0,0,0,8,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,28,,,,8,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LIS3MDL.h",0,0,0,9,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,9,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LIS3MDL.h",0,0,0,9,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,9,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LIS3MDL.h",0,0,0,9,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,9,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LIS3MDL.h",0,0,0,8,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,28,,,,8,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LIS3MDL.h",0,0,0,8,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,28,,,,8,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LIS3MDL.h",0,0,0,8,20,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,28,,,,8,,,,0,,,0,0,0,,,,0,20,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Module File,"LIS3MDL.py",,,,,,,1,1,1,1,20,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,9,,,,20,,,0,20,0,,,,,,,1,0,,20,0,,,,20,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
Module File,"LIS3MDL.py",,,,,,,1,1,1,1,20,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,30,,,,10,,,,20,,,0,20,0,,,,,,,1,0,,20,0,,,,20,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
Module File,"LIS3MDL.py",,,,,,,1,1,1,1,20,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,29,,,,9,,,,20,,,0,20,0,,,,,,,1,0,,20,0,,,,20,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"LSM6DSL.h",0,0,0,8,38,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,0,,,0,0,0,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM6DSL.h",0,0,0,6,38,1,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,45,,,,6,,,,0,,,0,0,1,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM6DSL.h",0,0,0,8,38,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,0,,,0,0,0,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM6DSL.h",0,0,0,8,38,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,0,,,0,0,0,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM6DSL.h",0,0,0,8,38,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,0,,,0,0,0,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM6DSL.h",0,0,0,8,38,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,0,,,0,0,0,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM6DSL.h",0,0,0,8,38,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,0,,,0,0,0,,,,0,38,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Module File,"LSM6DSL.py",,,,,,,1,1,1,1,38,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,45,,,,7,,,,38,,,0,38,0,,,,,,,1,0,,38,0,,,,38,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
Module File,"LSM6DSL.py",,,,,,,1,1,1,1,38,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,45,,,,7,,,,38,,,0,38,0,,,,,,,1,0,,38,0,,,,38,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
Module File,"LSM6DSL.py",,,,,,,1,1,1,1,38,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,45,,,,7,,,,38,,,0,38,0,,,,,,,1,0,,38,0,,,,38,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
Module File,"LSM6DSL.py",,,,,,,1,1,1,1,38,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,45,,,,7,,,,38,,,0,38,0,,,,,,,1,0,,38,0,,,,38,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
Module File,"LSM6DSL.py",,,,,,,1,1,1,1,38,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,45,,,,7,,,,38,,,0,38,0,,,,,,,1,0,,38,0,,,,38,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"LSM9DS0.cs",,,,,,,1,1,1,1,4,0,2,2,,,,,1,,,7,,,,7,,,,,,,,,,,,,,,,,,,,142,,,,13,,,,112,,,95,14,26,,,,0,0,,,,102,105,94,,,,14,,,,,,,,1,1,1,1,,,0,,,,"0.23",7,7,7,7
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,4,82,4,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,,,,4,,,,0,,,0,0,4,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,4,82,4,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,,,,4,,,,0,,,0,0,4,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,4,82,4,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,90,,,,4,,,,0,,,0,0,4,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,4,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,88,,,,4,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS0.h",0,0,0,3,82,2,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,0,,,0,0,2,,,,0,82,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Module File,"LSM9DS0.py",,,,,,,1,1,1,1,82,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,82,,,0,82,2,,,,,,,1,0,,82,0,,,,82,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.02",1,1,1,1
Module File,"LSM9DS0.py",,,,,,,1,1,1,1,82,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,82,,,0,82,2,,,,,,,1,0,,82,0,,,,82,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.02",1,1,1,1
Module File,"LSM9DS0.py",,,,,,,1,1,1,1,82,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,82,,,0,82,2,,,,,,,1,0,,82,0,,,,82,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.02",1,1,1,1
Module File,"LSM9DS0.py",,,,,,,1,1,1,1,82,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,87,,,,3,,,,82,,,0,82,2,,,,,,,1,0,,82,0,,,,82,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.02",1,1,1,1
File,"LSM9DS1.cs",,,,,,,1,1,1,1,4,0,3,2,,,,,1,,,7,,,,7,,,,,,,,,,,,,,,,,,,,148,,,,17,,,,111,,,91,17,33,,,,0,0,,,,100,103,90,,,,16,,,,,,,,1,1,1,1,,,0,,,,"0.30",7,7,7,7
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,7,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,94,,,,7,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"LSM9DS1.h",0,0,0,6,87,11,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,93,,,,6,,,,0,,,0,0,11,,,,0,87,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Module File,"LSM9DS1.py",,,,,,,1,1,1,1,78,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,94,,,,7,,,,78,,,0,78,11,,,,,,,1,0,,78,0,,,,78,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.14",1,1,1,1
Module File,"LSM9DS1.py",,,,,,,1,1,1,1,78,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,94,,,,7,,,,78,,,0,78,11,,,,,,,1,0,,78,0,,,,78,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.14",1,1,1,1
Module File,"LSM9DS1.py",,,,,,,1,1,1,1,78,0,0,0,,,,,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,94,,,,7,,,,78,,,0,78,11,,,,,,,1,0,,78,0,,,,78,,,1,1,1,1,,1,1,1,1,,,0,,,,"0.14",1,1,1,1
Unknown Class,"LaunchActivatedEventArgs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"MainPage.xaml.cs",,,,,,,3,3,3,1,52,8,38,6,,,,,1,,,5,,,,4,,,,,,,,,,,,,,,,,,,,266,,,,47,,,,196,,,49,129,36,,,,0,0,,,,131,148,48,,,,113,,,,,,,,9,9,9,1,,,3,,,,"0.18",17,17,17,5
Unknown Method,"Navigate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"NavigationFailedEventArgs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Pow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"README-WIN32.html",,,,,,,0,0,0,0,57,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,57,57,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,"0.00",0,0,0,0
File,"README.html",,,,,,,0,0,0,0,36,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,36,36,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,"0.00",0,0,0,0
Unknown Method,"RunAsync",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Sin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Sqrt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"StringBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"SuspendingEventArgs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.IO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Linq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Reflection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Runtime.CompilerServices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Runtime.InteropServices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Runtime.InteropServices.WindowsRuntime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"System.Threading.Tasks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Task",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"Temperature.c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Unknown Class,"Timer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"ToString",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.ApplicationModel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.ApplicationModel.Activation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.Devices.Enumeration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.Devices.I2c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.Foundation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.Foundation.Collections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml.Controls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml.Controls.Primitives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml.Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml.Input",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml.Media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unresolved Namespace,"Windows.UI.Xaml.Navigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Write",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
